"Module 1","Module 2","Count","Semester"
"ST2137","SP4261",0,2010
"ST2334","SP4261",0,2010
"ST3131","SP4261",1,2010
"ST3233","SP4261",0,2010
"ST3236&MA3238","SP4261",0,2010
"ST3240","SP4261",0,2010
"ST3242","SP4261",0,2010
"ST3248","SP4261",1,2010
"ST4231","SP4261",0,2010
"ST4233","SP4261",0,2010
"ST4241","SP4261",0,2010
"ST4245","SP4261",0,2010
"SP4261","SP4261",33,2010
"ESP2107","SP4261",0,2010
"DSA1101","ESP2107",0,2010
"DSA2101","ESP2107",0,2010
"DSA3101","ESP2107",0,2010
"DSA4211","ESP2107",0,2010
"DSA4264","ESP2107",0,2010
"ST1131","ESP2107",0,2010
"ST1232","ESP2107",0,2010
"ST2131&MA2216","ESP2107",0,2010
"ST2132","ESP2107",0,2010
"ST2137","ESP2107",0,2010
"ST2334","ESP2107",1,2010
"ST3131","ESP2107",0,2010
"ST3233","ESP2107",0,2010
"ST3236&MA3238","ESP2107",0,2010
"ST3240","ESP2107",0,2010
"ST3242","ESP2107",0,2010
"ST3248","ESP2107",0,2010
"ST4231","ESP2107",0,2010
"ST4233","ESP2107",0,2010
"ST4241","ESP2107",0,2010
"ST4245","ESP2107",0,2010
"SP4261","ESP2107",0,2010
"ESP2107","ESP2107",33,2010
"DSA2101","DSA2101",78,2020
"DSA4212","DSA2101",5,2020
"DSA4263","DSA2101",0,2020
"ST1232","DSA2101",0,2020
"ST2131&MA2216","DSA2101",0,2020
"ST2132","DSA2101",25,2020
"ST2137","DSA2101",1,2020
"ST2334","DSA2101",0,2020
"ST3131","DSA2101",65,2020
"ST3232","DSA2101",1,2020
"ST3236&MA3238","DSA2101",0,2020
"ST3239","DSA2101",6,2020
"ST3241","DSA2101",0,2020
"ST3244","DSA2101",0,2020
"ST3246","DSA2101",0,2020
"ST3247","DSA2101",1,2020
"ST4232","DSA2101",0,2020
"ST4234","DSA2101",5,2020
"ST4238&MA4251","DSA2101",0,2020
"ST4242","DSA2101",0,2020
"ST4248","DSA2101",0,2020
"DSA2101","DSA4212",5,2020
"DSA4212","DSA4212",118,2020
"DSA4263","DSA4212",6,2020
"ST1232","DSA4212",0,2020
"ST2131&MA2216","DSA4212",0,2020
"ST2132","DSA4212",0,2020
"ST2137","DSA4212",2,2020
"ST2334","DSA4212",0,2020
"ST3131","DSA4212",9,2020
"ST3232","DSA4212",3,2020
"ST3236&MA3238","DSA4212",0,2020
"ST3239","DSA4212",6,2020
"ST3241","DSA4212",0,2020
"ST3244","DSA4212",0,2020
"ST3246","DSA4212",0,2020
"ST3247","DSA4212",0,2020
"ST4232","DSA4212",0,2020
"ST4234","DSA4212",10,2020
"ST4238&MA4251","DSA4212",1,2020
"ST4242","DSA4212",0,2020
"ST4248","DSA4212",15,2020
"DSA2101","DSA4263",0,2020
"DSA4212","DSA4263",6,2020
"DSA4263","DSA4263",53,2020
"ST1232","DSA4263",0,2020
"ST2131&MA2216","DSA4263",0,2020
"ST2132","DSA4263",0,2020
